brand,window_size,n_hidden,units1,term,r2_score,rmse
WMT,35,200,150,10,0.9186,0.0612
WMT,35,200,150,15,0.8808,0.0733
WMT,35,200,150,20,0.8551,0.0801
WMT,35,200,150,25,0.9124,0.0612
WMT,35,200,150,30,0.7913,0.0937
WMT,35,200,150,35,0.8913,0.0663
WMT,35,200,150,40,0.8569,0.0754
WMT,35,200,150,45,0.8719,0.0706
WMT,35,200,150,50,0.8802,0.0679
WMT,35,200,150,55,0.6567,0.1130
WMT,35,200,150,60,0.6763,0.1086
WMT,35,200,150,65,0.6458,0.1118
WMT,35,200,150,70,0.3222,0.1539
WMT,35,200,150,75,0.4866,0.1324
WMT,35,200,150,80,0.4647,0.1344
WMT,35,200,150,85,0.1637,0.1657
WMT,35,200,150,90,0.0120,0.1795
WMT,35,200,150,95,0.3053,0.1500
WMT,35,200,150,100,0.2899,0.1514
WMT,35,200,150,105,0.5007,0.1272
WMT,35,200,150,110,0.1988,0.1614
WMT,35,200,150,115,0.7152,0.0947
WMT,35,200,150,120,0.7066,0.0955
WMT,35,200,150,125,0.8898,0.0584
