BA,CAT,GM,GS,MMM,NOC,NVDA,PFE,WMT,XOM
0.9024,0.8605,0.7519,0.8758,0.5551,0.8033,0.8637,-1.2025,0.9186,0.9014
0.8797,0.8695,0.4866,0.8792,0.0739,0.6036,0.8808,0.8343,0.8808,0.7616
0.8434,0.899,-0.0062,0.8976,-9.5124,0.2775,0.896,0.9192,0.8551,0.8076
0.8416,0.7969,0.5665,0.8537,-48.1032,0.029,0.8786,0.7026,0.9124,0.9109
0.8116,0.8947,0.3513,0.8513,-0.1826,0.5216,0.7803,0.927,0.7913,0.8405
0.7001,0.9401,0.5347,0.8677,-0.0089,-0.5116,0.8932,0.8923,0.8913,0.8361
0.8562,0.7932,0.4692,0.8417,0.1327,0.5046,0.8254,0.8061,0.8569,0.6106
0.7024,0.8978,-0.7461,0.8858,0.4114,-0.1791,0.8951,0.8921,0.8719,0.6553
0.6254,0.888,-0.3086,0.8304,-0.1822,-0.0805,0.781,0.923,0.8802,0.715
0.5494,0.9419,-0.0822,0.8367,-0.1029,0.2337,0.8844,0.9036,0.6567,0.8113
0.8188,0.9416,0.4638,0.7924,0.1998,-0.1494,0.8361,0.8961,0.6763,0.6947
0.8671,0.9438,-4.47,0.8266,-0.8745,0.2756,0.8185,0.9098,0.6458,0.6236
0.5304,0.8963,-1.6918,0.8527,0.2268,-0.4458,0.863,0.8482,0.3222,0.7463
0.2982,0.8001,-4.8958,0.8836,0.1831,0.1325,0.8091,0.9118,0.4866,0.5037
0.6393,0.7413,-4.5137,0.8872,0.2053,-0.1138,0.8285,0.9116,0.4647,0.2877
0.6202,0.7813,-6.5991,0.9055,0.2544,-0.8175,0.8934,0.8907,0.1637,0.7663
0.7495,0.8424,-14.0999,0.8639,0.2088,-0.1559,0.8999,0.9043,0.012,0.4482
0.3205,0.782,-13.0635,0.8768,-0.1448,-0.1478,0.7864,0.9243,0.3053,0.5138
0.3807,0.8361,-12.3296,0.8027,0.2364,-0.2861,0.6074,0.9187,0.2899,-0.0378
0.773,0.8486,-12.6145,0.8401,0.4717,-0.4211,0.8619,0.8519,0.5007,0.302
0.484,0.8837,-3.3872,0.7728,0.2989,0.119,-0.0746,0.8794,0.1988,-0.6813
0.6956,0.8948,-1.889,0.896,0.3601,-0.5438,0.8079,0.8741,0.7152,0.5148
0.8559,0.8824,-3.2654,0.8183,-0.601,0.1383,0.8809,0.8157,0.7066,0.3904
0.8604,0.8099,-5.2114,0.8805,-0.2484,-0.1777,0.842,0.8632,0.8898,0.62
