BA,CAT,GM,GS,MMM,NOC,NVDA,PFE,WMT,XOM
0.0391,0.1088,0.0423,0.0717,0.0698,0.0501,0.0342,0.161,0.0612,0.0466
0.0432,0.1054,0.0612,0.0704,0.1002,0.0712,0.0319,0.0442,0.0733,0.0737
0.0487,0.0931,0.0854,0.0644,0.3377,0.0982,0.0299,0.031,0.0801,0.0665
0.0484,0.1328,0.0561,0.0761,0.7321,0.1135,0.0325,0.062,0.0612,0.0455
0.0547,0.096,0.0681,0.0762,0.114,0.0816,0.0439,0.0319,0.0937,0.061
0.0709,0.0729,0.0572,0.0707,0.106,0.1487,0.0308,0.039,0.0663,0.0618
0.0491,0.1359,0.0609,0.0767,0.0986,0.0879,0.0395,0.0537,0.0754,0.0951
0.0724,0.0958,0.1104,0.0645,0.0816,0.1421,0.0307,0.0401,0.0706,0.0889
0.0812,0.1006,0.0957,0.0785,0.116,0.1384,0.0444,0.0356,0.0679,0.0808
0.089,0.0728,0.087,0.0767,0.1128,0.116,0.0325,0.0422,0.113,0.0658
0.0563,0.0731,0.0608,0.0861,0.0965,0.1427,0.0389,0.0438,0.1086,0.0833
0.0482,0.0717,0.1917,0.0781,0.1488,0.1172,0.0412,0.0407,0.1118,0.0917
0.0904,0.0974,0.1329,0.0715,0.0971,0.166,0.036,0.0525,0.1539,0.0746
0.1104,0.1368,0.1942,0.063,0.1006,0.1291,0.0428,0.0394,0.1324,0.1034
0.079,0.1556,0.1847,0.0615,0.0996,0.1464,0.0407,0.0392,0.1344,0.1231
0.083,0.1428,0.2113,0.0553,0.0972,0.1865,0.0324,0.0439,0.1657,0.0693
0.0687,0.1222,0.2936,0.0652,0.1037,0.148,0.0315,0.041,0.1795,0.1053
0.1137,0.1433,0.2786,0.0611,0.1261,0.1452,0.0463,0.0364,0.15,0.0972
0.109,0.1243,0.2709,0.0774,0.1033,0.1527,0.0629,0.038,0.1514,0.1413
0.0724,0.1197,0.2741,0.0701,0.0864,0.1576,0.0371,0.0518,0.1272,0.1148
0.1097,0.1049,0.1556,0.0837,0.0997,0.1227,0.1036,0.0475,0.1614,0.1768
0.0851,0.1,0.1252,0.0568,0.0957,0.1575,0.044,0.0492,0.0947,0.0943
0.0588,0.1059,0.1521,0.0754,0.1511,0.1154,0.0346,0.0627,0.0955,0.1055
0.0584,0.1356,0.1846,0.0616,0.1321,0.1329,0.0395,0.054,0.0584,0.0836
