brand,window_size,n_hidden,units1,term,r2_score,rmse
MMM,35,200,150,10,0.5551,0.0698
MMM,35,200,150,15,0.0739,0.1002
MMM,35,200,150,20,-9.5124,0.3377
MMM,35,200,150,25,-48.1032,0.7321
MMM,35,200,150,30,-0.1826,0.1140
MMM,35,200,150,35,-0.0089,0.1060
MMM,35,200,150,40,0.1327,0.0986
MMM,35,200,150,45,0.4114,0.0816
MMM,35,200,150,50,-0.1822,0.1160
MMM,35,200,150,55,-0.1029,0.1128
MMM,35,200,150,60,0.1998,0.0965
MMM,35,200,150,65,-0.8745,0.1488
MMM,35,200,150,70,0.2268,0.0971
MMM,35,200,150,75,0.1831,0.1006
MMM,35,200,150,80,0.2053,0.0996
MMM,35,200,150,85,0.2544,0.0972
MMM,35,200,150,90,0.2088,0.1037
MMM,35,200,150,95,-0.1448,0.1261
MMM,35,200,150,100,0.2364,0.1033
MMM,35,200,150,105,0.4717,0.0864
MMM,35,200,150,110,0.2989,0.0997
MMM,35,200,150,115,0.3601,0.0957
MMM,35,200,150,120,-0.6010,0.1511
MMM,35,200,150,125,-0.2484,0.1321
