brand,window_size,n_hidden,units1,term,r2_score,rmse
PFE,35,200,150,10,-1.2025,0.1610
PFE,35,200,150,15,0.8343,0.0442
PFE,35,200,150,20,0.9192,0.0310
PFE,35,200,150,25,0.7026,0.0620
PFE,35,200,150,30,0.9270,0.0319
PFE,35,200,150,35,0.8923,0.0390
PFE,35,200,150,40,0.8061,0.0537
PFE,35,200,150,45,0.8921,0.0401
PFE,35,200,150,50,0.9230,0.0356
PFE,35,200,150,55,0.9036,0.0422
PFE,35,200,150,60,0.8961,0.0438
PFE,35,200,150,65,0.9098,0.0407
PFE,35,200,150,70,0.8482,0.0525
PFE,35,200,150,75,0.9118,0.0394
PFE,35,200,150,80,0.9116,0.0392
PFE,35,200,150,85,0.8907,0.0439
PFE,35,200,150,90,0.9043,0.0410
PFE,35,200,150,95,0.9243,0.0364
PFE,35,200,150,100,0.9187,0.0380
PFE,35,200,150,105,0.8519,0.0518
PFE,35,200,150,110,0.8794,0.0475
PFE,35,200,150,115,0.8741,0.0492
PFE,35,200,150,120,0.8157,0.0627
PFE,35,200,150,125,0.8632,0.0540
