BA,CAT,GM,GS,MMM,NOC,NVDA,PFE,WMT,XOM
0.6744,-0.0386,0.6079,0.7211,-4.3914,0.5167,0.8674,0.7992,0.6741,0.6528
0.6658,0.0304,0.667,0.7067,-7.5609,0.2907,0.8575,0.5276,0.6904,0.4486
0.6585,0.0319,0.6368,0.3887,-8.0643,0.5198,0.652,0.4971,0.6469,0.4955
0.6333,0.336,0.6487,0.5177,-8.1766,0.073,0.7927,0.584,0.478,0.6269
0.6759,0.105,0.576,0.4324,-6.932,0.2161,0.7799,0.7414,0.5699,-0.2983
0.5872,0.0147,0.5407,0.4364,-5.6437,0.16,0.7141,0.6535,0.5317,0.5879
0.3218,0.0066,0.6381,0.2746,-3.0211,0.5398,0.7359,0.2108,0.5279,0.0438
0.0566,0.1004,0.6524,0.2652,-2.8637,0.4393,0.5473,0.439,0.6165,-0.135
-0.0071,-0.0111,0.5136,0.4053,-5.6303,0.7083,0.5261,0.2713,0.6926,-2.6771
-0.0181,-0.1697,0.304,0.4505,-3.0909,0.8132,0.5735,0.3852,0.5599,-3.666
-0.2507,-1.3778,0.5247,-0.3822,-1.8485,0.6712,0.1212,0.3757,0.4834,-1.9083
0.0238,-0.705,0.368,-0.2163,-3.0926,0.8472,0.1979,0.1879,0.6991,-2.3622
-0.0449,0.0909,0.2205,-2.2537,-1.3692,0.7989,-1.1719,-0.0684,0.6615,-0.9876
-0.3064,0.1662,0.6193,-1.7705,-1.4689,0.7045,-3.0907,0.1736,0.6417,-0.6229
-0.5741,-1.3888,0.356,-0.7352,-0.8739,0.5204,-2.1629,-0.9718,0.7137,-0.843
-0.0265,0.2985,0.5604,-0.72,-1.1839,0.4143,-6.7084,-0.49,0.6574,-0.4659
-0.1499,0.2969,-0.6251,-2.7828,-1.4345,0.7674,-4.435,-1.9004,0.7276,-0.7519
-0.1847,0.3137,0.1459,-1.2959,-0.6871,0.7391,-20.3526,-2.196,0.5935,-2.9381
-0.2483,0.228,0.1521,-4.3452,-1.0339,0.6098,-8.2562,-4.156,0.7292,-2.4506
-0.2994,-0.4984,-0.5038,-5.5589,-0.5941,0.1042,-20.7742,-2.5944,0.5777,-0.2834
-0.3744,-4.2925,-0.4688,-2.0995,-0.5407,0.6223,-1.6179,-3.3776,0.6579,0.0991
-0.5459,-2.7282,-0.2848,-5.1232,-0.3813,0.4825,-7.3405,-2.5387,-0.0323,-1.4582
-1.1503,-2.6351,0.3734,-5.8569,-0.7974,0.7372,-4.1139,-2.2823,0.3949,-0.5132
-1.4338,-2.8653,0.0078,-6.4382,-1.073,0.7256,-10.7569,-1.0963,-0.1137,-4.2596
