brand,window_size,n_hidden,units1,term,r2_score,rmse
GM,35,200,150,10,0.6079,0.1102
GM,35,200,150,15,0.6670,0.0996
GM,35,200,150,20,0.6368,0.0994
GM,35,200,150,25,0.6487,0.0963
GM,35,200,150,30,0.5760,0.1024
GM,35,200,150,35,0.5407,0.1068
GM,35,200,150,40,0.6381,0.0964
GM,35,200,150,45,0.6524,0.0953
GM,35,200,150,50,0.5136,0.1145
GM,35,200,150,55,0.3040,0.1381
GM,35,200,150,60,0.5247,0.1152
GM,35,200,150,65,0.3680,0.1338
GM,35,200,150,70,0.2205,0.1514
GM,35,200,150,75,0.6193,0.1067
GM,35,200,150,80,0.3560,0.1369
GM,35,200,150,85,0.5604,0.1104
GM,35,200,150,90,-0.6251,0.2039
GM,35,200,150,95,0.1459,0.1456
GM,35,200,150,100,0.1521,0.1450
GM,35,200,150,105,-0.5038,0.1951
GM,35,200,150,110,-0.4688,0.1976
GM,35,200,150,115,-0.2848,0.1874
GM,35,200,150,120,0.3734,0.1298
GM,35,200,150,125,0.0078,0.1616
