brand,window_size,n_hidden,units1,term,r2_score,rmse
NOC,35,200,150,10,0.5167,0.0959
NOC,35,200,150,15,0.2907,0.1176
NOC,35,200,150,20,0.5198,0.1027
NOC,35,200,150,25,0.0730,0.1446
NOC,35,200,150,30,0.2161,0.1452
NOC,35,200,150,35,0.1600,0.1646
NOC,35,200,150,40,0.5398,0.1327
NOC,35,200,150,45,0.4393,0.1698
NOC,35,200,150,50,0.7083,0.1288
NOC,35,200,150,55,0.8132,0.1018
NOC,35,200,150,60,0.6712,0.1315
NOC,35,200,150,65,0.8472,0.0964
NOC,35,200,150,70,0.7989,0.0989
NOC,35,200,150,75,0.7045,0.1098
NOC,35,200,150,80,0.5204,0.1281
NOC,35,200,150,85,0.4143,0.1426
NOC,35,200,150,90,0.7674,0.0904
NOC,35,200,150,95,0.7391,0.0955
NOC,35,200,150,100,0.6098,0.1169
NOC,35,200,150,105,0.1042,0.1794
NOC,35,200,150,110,0.6223,0.1195
NOC,35,200,150,115,0.4825,0.1415
NOC,35,200,150,120,0.7372,0.1026
NOC,35,200,150,125,0.7256,0.1059
