brand,window_size,n_hidden,units1,term,r2_score,rmse
PFE,35,200,150,10,0.7992,0.1011
PFE,35,200,150,15,0.5276,0.1552
PFE,35,200,150,20,0.4971,0.1600
PFE,35,200,150,25,0.5840,0.1502
PFE,35,200,150,30,0.7414,0.1215
PFE,35,200,150,35,0.6535,0.1401
PFE,35,200,150,40,0.2108,0.2134
PFE,35,200,150,45,0.4390,0.1783
PFE,35,200,150,50,0.2713,0.2085
PFE,35,200,150,55,0.3852,0.1992
PFE,35,200,150,60,0.3757,0.1942
PFE,35,200,150,65,0.1879,0.2183
PFE,35,200,150,70,-0.0684,0.2421
PFE,35,200,150,75,0.1736,0.2088
PFE,35,200,150,80,-0.9718,0.3076
PFE,35,200,150,85,-0.4900,0.2628
PFE,35,200,150,90,-1.9004,0.3422
PFE,35,200,150,95,-2.1960,0.3502
PFE,35,200,150,100,-4.1560,0.4061
PFE,35,200,150,105,-2.5944,0.3397
PFE,35,200,150,110,-3.3776,0.3635
PFE,35,200,150,115,-2.5387,0.3300
PFE,35,200,150,120,-2.2823,0.3302
PFE,35,200,150,125,-1.0963,0.2595
