brand,window_size,n_hidden,units1,term,r2_score,rmse
XOM,35,200,150,10,0.9014,0.0466
XOM,35,200,150,15,0.7616,0.0737
XOM,35,200,150,20,0.8076,0.0665
XOM,35,200,150,25,0.9109,0.0455
XOM,35,200,150,30,0.8405,0.0610
XOM,35,200,150,35,0.8361,0.0618
XOM,35,200,150,40,0.6106,0.0951
XOM,35,200,150,45,0.6553,0.0889
XOM,35,200,150,50,0.7150,0.0808
XOM,35,200,150,55,0.8113,0.0658
XOM,35,200,150,60,0.6947,0.0833
XOM,35,200,150,65,0.6236,0.0917
XOM,35,200,150,70,0.7463,0.0746
XOM,35,200,150,75,0.5037,0.1034
XOM,35,200,150,80,0.2877,0.1231
XOM,35,200,150,85,0.7663,0.0693
XOM,35,200,150,90,0.4482,0.1053
XOM,35,200,150,95,0.5138,0.0972
XOM,35,200,150,100,-0.0378,0.1413
XOM,35,200,150,105,0.3020,0.1148
XOM,35,200,150,110,-0.6813,0.1768
XOM,35,200,150,115,0.5148,0.0943
XOM,35,200,150,120,0.3904,0.1055
XOM,35,200,150,125,0.6200,0.0836
