brand,window_size,n_hidden,units1,term,r2_score,rmse
CAT,35,200,150,10,-0.0386,0.1003
CAT,35,200,150,15,0.0304,0.0974
CAT,35,200,150,20,0.0319,0.0954
CAT,35,200,150,25,0.3360,0.0781
CAT,35,200,150,30,0.1050,0.0872
CAT,35,200,150,35,0.0147,0.0912
CAT,35,200,150,40,0.0066,0.0890
CAT,35,200,150,45,0.1004,0.0806
CAT,35,200,150,50,-0.0111,0.0775
CAT,35,200,150,55,-0.1697,0.0835
CAT,35,200,150,60,-1.3778,0.1197
CAT,35,200,150,65,-0.7050,0.1023
CAT,35,200,150,70,0.0909,0.0759
CAT,35,200,150,75,0.1662,0.0745
CAT,35,200,150,80,-1.3888,0.1243
CAT,35,200,150,85,0.2985,0.0681
CAT,35,200,150,90,0.2969,0.1042
CAT,35,200,150,95,0.3137,0.1162
CAT,35,200,150,100,0.2280,0.1264
CAT,35,200,150,105,-0.4984,0.1777
CAT,35,200,150,110,-4.2925,0.3060
CAT,35,200,150,115,-2.7282,0.2574
CAT,35,200,150,120,-2.6351,0.2445
CAT,35,200,150,125,-2.8653,0.2490
