BA,CAT,GM,GS,MMM,NOC,NVDA,PFE,WMT,XOM
0.8516,0.8881,0.4911,0.8649,0.7568,0.5873,0.8697,0.894,0.9197,0.8489
0.9035,0.9128,0.4929,0.921,0.7486,0.5382,0.8462,0.7524,0.8949,0.9098
0.907,0.8602,0.491,0.8662,-0.1135,0.0846,0.843,0.8024,0.9145,0.8962
0.8037,0.8708,0.1711,0.8894,-0.6396,0.0015,0.8929,0.5988,0.9,0.8819
0.8643,0.8856,0.6829,0.8768,-26.7302,0.5071,0.8172,0.9042,0.5372,0.8921
0.8767,0.8594,0.0685,0.8582,-1.351,-0.3141,0.7925,0.907,0.9068,0.8164
0.6484,0.8683,0.1875,0.9038,-0.6868,0.0346,0.8557,0.7086,0.8761,0.9017
0.9127,0.9108,0.2585,0.8843,-0.3192,0.5061,0.6356,0.7609,0.9014,0.7627
0.8638,0.8793,0.586,0.8701,-0.2599,0.3992,0.8425,0.705,0.8163,0.8359
0.8299,0.7223,0.4265,0.8825,-0.2288,-0.1142,0.8283,0.8601,0.8869,0.7281
0.7769,0.7945,0.6843,0.8203,-10.3215,0.1648,0.677,0.6602,0.8622,0.5132
0.8919,0.8519,0.7431,0.8752,-3.3701,0.0926,0.7864,0.7763,0.7751,0.9031
0.5165,0.7644,0.297,0.8492,-3.2752,0.0637,-0.0459,0.7846,0.8207,0.8993
