brand,window_size,n_hidden,units1,term,r2_score,rmse
BA,35,200,150,10,0.8922,0.0411
BA,35,200,150,15,0.9249,0.0341
BA,35,200,150,20,0.9075,0.0374
BA,35,200,150,25,0.7867,0.0562
BA,35,200,150,30,0.8566,0.0477
BA,35,200,150,35,0.6132,0.0805
BA,35,200,150,40,0.8727,0.0462
BA,35,200,150,45,0.7616,0.0648
BA,35,200,150,50,0.6124,0.0826
BA,35,200,150,55,0.3195,0.1093
BA,35,200,150,60,0.4817,0.0953
BA,35,200,150,65,0.4121,0.1014
BA,35,200,150,70,0.6200,0.0813
BA,35,200,150,75,0.5119,0.0921
BA,35,200,150,80,0.4347,0.0989
BA,35,200,150,85,0.7798,0.0632
BA,35,200,150,90,0.6414,0.0822
BA,35,200,150,95,0.7898,0.0632
BA,35,200,150,100,-0.1906,0.1511
BA,35,200,150,105,0.7315,0.0787
BA,35,200,150,110,0.8637,0.0564
BA,35,200,150,115,0.5746,0.1006
BA,35,200,150,120,0.9072,0.0472
BA,35,200,150,125,0.7431,0.0792
