brand,window_size,n_hidden,units1,term,r2_score,rmse
CAT,35,200,150,10,0.7557,0.1440
CAT,35,200,150,15,0.8459,0.1146
CAT,35,200,150,20,0.9076,0.0890
CAT,35,200,150,25,0.8672,0.1074
CAT,35,200,150,30,0.8687,0.1072
CAT,35,200,150,35,0.8907,0.0985
CAT,35,200,150,40,0.8260,0.1246
CAT,35,200,150,45,0.9300,0.0794
CAT,35,200,150,50,0.9181,0.0861
CAT,35,200,150,55,0.9244,0.0831
CAT,35,200,150,60,0.9137,0.0889
CAT,35,200,150,65,0.9372,0.0759
CAT,35,200,150,70,0.8968,0.0971
CAT,35,200,150,75,0.8533,0.1172
CAT,35,200,150,80,0.8429,0.1212
CAT,35,200,150,85,0.9015,0.0958
CAT,35,200,150,90,0.8374,0.1241
CAT,35,200,150,95,0.7938,0.1394
CAT,35,200,150,100,0.8293,0.1269
CAT,35,200,150,105,0.8741,0.1091
CAT,35,200,150,110,0.9046,0.0950
CAT,35,200,150,115,0.9286,0.0824
CAT,35,200,150,120,0.8191,0.1314
CAT,35,200,150,125,0.8071,0.1366
