brand,window_size,n_hidden,units1,term,r2_score,rmse
GM,35,200,150,10,0.8115,0.0369
GM,35,200,150,15,0.6073,0.0535
GM,35,200,150,20,0.5921,0.0544
GM,35,200,150,25,0.4551,0.0629
GM,35,200,150,30,0.5633,0.0559
GM,35,200,150,35,0.1479,0.0773
GM,35,200,150,40,-1.0407,0.1194
GM,35,200,150,45,-1.4595,0.1310
GM,35,200,150,50,-1.0806,0.1207
GM,35,200,150,55,-0.5443,0.1039
GM,35,200,150,60,-1.1672,0.1222
GM,35,200,150,65,-1.4095,0.1272
GM,35,200,150,70,-1.3761,0.1249
GM,35,200,150,75,-2.8211,0.1563
GM,35,200,150,80,-12.4673,0.2887
GM,35,200,150,85,-10.6111,0.2612
GM,35,200,150,90,-13.1243,0.2839
GM,35,200,150,95,-9.6883,0.2429
GM,35,200,150,100,-11.9412,0.2669
GM,35,200,150,105,-9.4772,0.2405
GM,35,200,150,110,-5.1914,0.1848
GM,35,200,150,115,-4.7509,0.1767
GM,35,200,150,120,-1.3373,0.1126
GM,35,200,150,125,-6.0609,0.1969
