brand,window_size,n_hidden,units1,term,r2_score,rmse
GS,35,200,150,10,0.9207,0.0573
GS,35,200,150,15,0.8988,0.0644
GS,35,200,150,20,0.8226,0.0848
GS,35,200,150,25,0.8738,0.0707
GS,35,200,150,30,0.9016,0.0620
GS,35,200,150,35,0.8064,0.0855
GS,35,200,150,40,0.7672,0.0930
GS,35,200,150,45,0.8760,0.0673
GS,35,200,150,50,0.8170,0.0815
GS,35,200,150,55,0.9025,0.0593
GS,35,200,150,60,0.8818,0.0650
GS,35,200,150,65,0.6526,0.1106
GS,35,200,150,70,0.8528,0.0715
GS,35,200,150,75,0.8651,0.0678
GS,35,200,150,80,0.8526,0.0703
GS,35,200,150,85,0.8883,0.0601
GS,35,200,150,90,0.8684,0.0641
GS,35,200,150,95,0.7960,0.0787
GS,35,200,150,100,0.8549,0.0664
GS,35,200,150,105,0.8615,0.0652
GS,35,200,150,110,0.7766,0.0830
GS,35,200,150,115,0.7681,0.0849
GS,35,200,150,120,0.8691,0.0639
GS,35,200,150,125,0.8689,0.0645
