brand,window_size,n_hidden,units1,term,r2_score,rmse
MMM,35,200,150,10,0.6763,0.0596
MMM,35,200,150,15,0.2188,0.0920
MMM,35,200,150,20,-0.0683,0.1076
MMM,35,200,150,25,-0.1553,0.1123
MMM,35,200,150,30,-0.6960,0.1365
MMM,35,200,150,35,-0.5056,0.1295
MMM,35,200,150,40,-0.3277,0.1220
MMM,35,200,150,45,-0.1498,0.1141
MMM,35,200,150,50,-0.0228,0.1079
MMM,35,200,150,55,0.2118,0.0954
MMM,35,200,150,60,0.2235,0.0950
MMM,35,200,150,65,-0.0417,0.1109
MMM,35,200,150,70,0.3834,0.0867
MMM,35,200,150,75,0.4022,0.0861
MMM,35,200,150,80,0.2805,0.0948
MMM,35,200,150,85,0.4192,0.0858
MMM,35,200,150,90,0.4225,0.0886
MMM,35,200,150,95,0.2985,0.0987
MMM,35,200,150,100,0.0262,0.1166
MMM,35,200,150,105,-0.2583,0.1333
MMM,35,200,150,110,0.2850,0.1007
MMM,35,200,150,115,-0.0084,0.1201
MMM,35,200,150,120,-0.2974,0.1360
MMM,35,200,150,125,0.1139,0.1113
