brand,window_size,n_hidden,units1,term,r2_score,rmse
NOC,35,200,150,10,0.0959,0.1073
NOC,35,200,150,15,0.5682,0.0743
NOC,35,200,150,20,0.3191,0.0953
NOC,35,200,150,25,0.3637,0.0919
NOC,35,200,150,30,0.7966,0.0532
NOC,35,200,150,35,0.6144,0.0751
NOC,35,200,150,40,-0.3894,0.1472
NOC,35,200,150,45,-0.3381,0.1514
NOC,35,200,150,50,0.4762,0.0963
NOC,35,200,150,55,-0.6938,0.1725
NOC,35,200,150,60,-0.5296,0.1646
NOC,35,200,150,65,-0.1144,0.1453
NOC,35,200,150,70,-0.0654,0.1425
NOC,35,200,150,75,-0.0671,0.1432
NOC,35,200,150,80,-0.1284,0.1474
NOC,35,200,150,85,-0.0321,0.1405
NOC,35,200,150,90,-0.3959,0.1626
NOC,35,200,150,95,-0.2578,0.1520
NOC,35,200,150,100,-0.6304,0.1719
NOC,35,200,150,105,0.3313,0.1081
NOC,35,200,150,110,-0.4292,0.1562
NOC,35,200,150,115,-0.6125,0.1609
NOC,35,200,150,120,-0.1915,0.1357
NOC,35,200,150,125,-0.8244,0.1655
