brand,window_size,n_hidden,units1,term,r2_score,rmse
NVDA,35,200,150,10,0.8966,0.0298
NVDA,35,200,150,15,0.9010,0.0291
NVDA,35,200,150,20,0.8854,0.0314
NVDA,35,200,150,25,0.8628,0.0346
NVDA,35,200,150,30,0.8715,0.0336
NVDA,35,200,150,35,0.8676,0.0343
NVDA,35,200,150,40,0.5332,0.0645
NVDA,35,200,150,45,0.8354,0.0385
NVDA,35,200,150,50,0.8727,0.0339
NVDA,35,200,150,55,0.8984,0.0305
NVDA,35,200,150,60,0.8357,0.0389
NVDA,35,200,150,65,0.7030,0.0527
NVDA,35,200,150,70,0.8505,0.0376
NVDA,35,200,150,75,0.8977,0.0313
NVDA,35,200,150,80,0.8813,0.0339
NVDA,35,200,150,85,0.8867,0.0334
NVDA,35,200,150,90,0.4052,0.0767
NVDA,35,200,150,95,0.8978,0.0321
NVDA,35,200,150,100,0.8683,0.0364
NVDA,35,200,150,105,0.7871,0.0461
NVDA,35,200,150,110,0.6456,0.0595
NVDA,35,200,150,115,0.7129,0.0538
NVDA,35,200,150,120,0.8309,0.0412
NVDA,35,200,150,125,0.7474,0.0499
