brand,window_size,n_hidden,units1,term,r2_score,rmse
PFE,35,200,150,10,0.8744,0.0384
PFE,35,200,150,15,0.8585,0.0409
PFE,35,200,150,20,0.9061,0.0334
PFE,35,200,150,25,0.8872,0.0382
PFE,35,200,150,30,0.7798,0.0554
PFE,35,200,150,35,0.5954,0.0756
PFE,35,200,150,40,0.9266,0.0330
PFE,35,200,150,45,0.8706,0.0439
PFE,35,200,150,50,0.7445,0.0649
PFE,35,200,150,55,0.8906,0.0450
PFE,35,200,150,60,0.8716,0.0487
PFE,35,200,150,65,0.9156,0.0393
PFE,35,200,150,70,0.8243,0.0565
PFE,35,200,150,75,0.9300,0.0351
PFE,35,200,150,80,0.8776,0.0461
PFE,35,200,150,85,0.8959,0.0429
PFE,35,200,150,90,0.8616,0.0494
PFE,35,200,150,95,0.9098,0.0397
PFE,35,200,150,100,0.8917,0.0438
PFE,35,200,150,105,0.2397,0.1174
PFE,35,200,150,110,0.9278,0.0367
PFE,35,200,150,115,0.8562,0.0526
PFE,35,200,150,120,0.8766,0.0513
PFE,35,200,150,125,0.8706,0.0525
