brand,window_size,n_hidden,units1,term,r2_score,rmse
WMT,35,200,150,10,0.9141,0.0629
WMT,35,200,150,15,0.9236,0.0587
WMT,35,200,150,20,0.8433,0.0833
WMT,35,200,150,25,0.9194,0.0587
WMT,35,200,150,30,0.9003,0.0647
WMT,35,200,150,35,0.8885,0.0672
WMT,35,200,150,40,0.9181,0.0570
WMT,35,200,150,45,0.7624,0.0961
WMT,35,200,150,50,0.8556,0.0746
WMT,35,200,150,55,0.7577,0.0950
WMT,35,200,150,60,0.6347,0.1154
WMT,35,200,150,65,0.4641,0.1376
WMT,35,200,150,70,0.6396,0.1122
WMT,35,200,150,75,0.7286,0.0963
WMT,35,200,150,80,0.8425,0.0729
WMT,35,200,150,85,0.3332,0.1479
WMT,35,200,150,90,0.4752,0.1308
WMT,35,200,150,95,0.6021,0.1135
WMT,35,200,150,100,0.6640,0.1042
WMT,35,200,150,105,0.3477,0.1454
WMT,35,200,150,110,0.3379,0.1468
WMT,35,200,150,115,-3.7669,0.3876
WMT,35,200,150,120,0.4078,0.1356
WMT,35,200,150,125,0.3950,0.1369
