brand,window_size,n_hidden,units1,term,r2_score,rmse
XOM,35,200,150,10,0.8733,0.0528
XOM,35,200,150,15,0.9082,0.0458
XOM,35,200,150,20,0.8626,0.0562
XOM,35,200,150,25,0.8225,0.0642
XOM,35,200,150,30,0.6806,0.0863
XOM,35,200,150,35,0.7787,0.0718
XOM,35,200,150,40,0.8542,0.0582
XOM,35,200,150,45,0.8878,0.0507
XOM,35,200,150,50,0.8625,0.0561
XOM,35,200,150,55,0.8351,0.0615
XOM,35,200,150,60,0.8231,0.0634
XOM,35,200,150,65,0.6049,0.0940
XOM,35,200,150,70,0.2992,0.1241
XOM,35,200,150,75,0.4046,0.1132
XOM,35,200,150,80,0.3043,0.1216
XOM,35,200,150,85,0.4095,0.1102
XOM,35,200,150,90,0.6221,0.0872
XOM,35,200,150,95,0.6013,0.0880
XOM,35,200,150,100,0.2247,0.1221
XOM,35,200,150,105,0.2669,0.1176
XOM,35,200,150,110,0.3884,0.1066
XOM,35,200,150,115,0.6610,0.0788
XOM,35,200,150,120,-1.8043,0.2263
XOM,35,200,150,125,0.6171,0.0839
