brand,window_size,n_hidden,units1,term,r2_score,rmse
BA,35,200,150,10,0.4910,0.0965
BA,35,200,150,15,0.4232,0.1023
BA,35,200,150,20,0.5824,0.0867
BA,35,200,150,25,0.4157,0.1022
BA,35,200,150,30,0.5605,0.0941
BA,35,200,150,35,0.2892,0.1254
BA,35,200,150,40,0.2437,0.1260
BA,35,200,150,45,-0.4461,0.1824
BA,35,200,150,50,-0.1443,0.1620
BA,35,200,150,55,-0.0032,0.1521
BA,35,200,150,60,0.1289,0.1429
BA,35,200,150,65,0.0319,0.1513
BA,35,200,150,70,0.0192,0.1545
BA,35,200,150,75,-0.1001,0.1650
BA,35,200,150,80,-0.4223,0.1917
BA,35,200,150,85,-0.1271,0.1802
BA,35,200,150,90,0.0130,0.1779
BA,35,200,150,95,-0.0411,0.1844
BA,35,200,150,100,-0.3539,0.2143
BA,35,200,150,105,-0.4286,0.2620
BA,35,200,150,110,-0.5165,0.2645
BA,35,200,150,115,-0.4568,0.2587
BA,35,200,150,120,-0.8333,0.2829
BA,35,200,150,125,-1.4126,0.2918
