brand,window_size,n_hidden,units1,term,r2_score,rmse
CAT,35,200,150,10,-1.0224,0.1399
CAT,35,200,150,15,-0.0512,0.1014
CAT,35,200,150,20,-0.0264,0.0982
CAT,35,200,150,25,0.3124,0.0794
CAT,35,200,150,30,0.1550,0.0848
CAT,35,200,150,35,0.2114,0.0816
CAT,35,200,150,40,0.1674,0.0815
CAT,35,200,150,45,0.0218,0.0841
CAT,35,200,150,50,-0.1327,0.0820
CAT,35,200,150,55,-0.8809,0.1059
CAT,35,200,150,60,-1.5397,0.1237
CAT,35,200,150,65,-0.0816,0.0815
CAT,35,200,150,70,0.0141,0.0791
CAT,35,200,150,75,-0.1740,0.0884
CAT,35,200,150,80,-0.8999,0.1109
CAT,35,200,150,85,0.4310,0.0613
CAT,35,200,150,90,0.1605,0.1139
CAT,35,200,150,95,0.4004,0.1087
CAT,35,200,150,100,0.3413,0.1167
CAT,35,200,150,105,-0.4939,0.1774
CAT,35,200,150,110,-3.1634,0.2714
CAT,35,200,150,115,-2.4161,0.2464
CAT,35,200,150,120,-1.7329,0.2120
CAT,35,200,150,125,-1.0134,0.1797
