brand,window_size,n_hidden,units1,term,r2_score,rmse
GM,35,200,150,10,0.7475,0.0884
GM,35,200,150,15,0.2705,0.1475
GM,35,200,150,20,0.5521,0.1104
GM,35,200,150,25,0.6580,0.0950
GM,35,200,150,30,0.4104,0.1208
GM,35,200,150,35,0.4812,0.1135
GM,35,200,150,40,0.5740,0.1046
GM,35,200,150,45,0.5993,0.1023
GM,35,200,150,50,0.6649,0.0950
GM,35,200,150,55,0.5705,0.1085
GM,35,200,150,60,-0.1947,0.1826
GM,35,200,150,65,0.4845,0.1209
GM,35,200,150,70,0.4628,0.1257
GM,35,200,150,75,0.6362,0.1043
GM,35,200,150,80,-0.0804,0.1773
GM,35,200,150,85,0.2582,0.1434
GM,35,200,150,90,-1.6618,0.2609
GM,35,200,150,95,-0.3181,0.1809
GM,35,200,150,100,0.1341,0.1465
GM,35,200,150,105,-0.5405,0.1974
GM,35,200,150,110,-0.7581,0.2162
GM,35,200,150,115,-0.0545,0.1698
GM,35,200,150,120,-0.0318,0.1665
GM,35,200,150,125,-0.1799,0.1762
