brand,window_size,n_hidden,units1,term,r2_score,rmse
GS,35,200,150,10,0.6459,0.0659
GS,35,200,150,15,0.6545,0.0711
GS,35,200,150,20,0.6109,0.0777
GS,35,200,150,25,0.3902,0.0956
GS,35,200,150,30,0.3808,0.0969
GS,35,200,150,35,-0.7208,0.1625
GS,35,200,150,40,-0.0044,0.1252
GS,35,200,150,45,0.4491,0.0958
GS,35,200,150,50,0.2812,0.1155
GS,35,200,150,55,0.3001,0.1146
GS,35,200,150,60,-1.2025,0.2471
GS,35,200,150,65,-0.1229,0.1785
GS,35,200,150,70,0.0725,0.1609
GS,35,200,150,75,-2.8057,0.3216
GS,35,200,150,80,-0.1977,0.1746
GS,35,200,150,85,-1.4742,0.2457
GS,35,200,150,90,-1.0489,0.2113
GS,35,200,150,95,-4.0996,0.3050
GS,35,200,150,100,-5.5572,0.3407
GS,35,200,150,105,-2.3307,0.2368
GS,35,200,150,110,-1.8322,0.2046
GS,35,200,150,115,-4.1902,0.2766
GS,35,200,150,120,-3.0975,0.3076
GS,35,200,150,125,-5.1257,0.3587
