brand,window_size,n_hidden,units1,term,r2_score,rmse
MMM,35,200,150,10,-3.5691,0.1941
MMM,35,200,150,15,-5.4016,0.2304
MMM,35,200,150,20,-8.1490,0.2780
MMM,35,200,150,25,-7.0536,0.2621
MMM,35,200,150,30,-6.5434,0.2578
MMM,35,200,150,35,-6.1089,0.2523
MMM,35,200,150,40,-4.2463,0.2197
MMM,35,200,150,45,-0.4672,0.1166
MMM,35,200,150,50,-4.5175,0.2294
MMM,35,200,150,55,-4.6126,0.2313
MMM,35,200,150,60,-2.4525,0.1811
MMM,35,200,150,65,-3.7969,0.2125
MMM,35,200,150,70,-0.9928,0.1420
MMM,35,200,150,75,-2.1707,0.1779
MMM,35,200,150,80,-0.5458,0.1249
MMM,35,200,150,85,-0.2344,0.1124
MMM,35,200,150,90,-1.0374,0.1602
MMM,35,200,150,95,-0.8168,0.1518
MMM,35,200,150,100,-0.4610,0.1353
MMM,35,200,150,105,-0.3521,0.1291
MMM,35,200,150,110,-0.8305,0.1483
MMM,35,200,150,115,-0.8123,0.1468
MMM,35,200,150,120,-0.5188,0.1280
MMM,35,200,150,125,-1.2967,0.1489
