brand,window_size,n_hidden,units1,term,r2_score,rmse
NOC,35,200,150,10,0.3613,0.1103
NOC,35,200,150,15,0.5113,0.0976
NOC,35,200,150,20,0.3070,0.1233
NOC,35,200,150,25,0.1338,0.1398
NOC,35,200,150,30,0.1843,0.1481
NOC,35,200,150,35,0.1201,0.1685
NOC,35,200,150,40,0.3965,0.1520
NOC,35,200,150,45,0.5650,0.1496
NOC,35,200,150,50,0.7199,0.1262
NOC,35,200,150,55,0.7762,0.1115
NOC,35,200,150,60,0.8505,0.0887
NOC,35,200,150,65,0.8258,0.1029
NOC,35,200,150,70,0.4864,0.1581
NOC,35,200,150,75,0.6996,0.1107
NOC,35,200,150,80,0.7592,0.0908
NOC,35,200,150,85,-0.1907,0.2033
NOC,35,200,150,90,0.7813,0.0877
NOC,35,200,150,95,0.7418,0.0950
NOC,35,200,150,100,0.4817,0.1348
NOC,35,200,150,105,0.0991,0.1799
NOC,35,200,150,110,-0.8261,0.2627
NOC,35,200,150,115,0.4551,0.1452
NOC,35,200,150,120,0.6867,0.1121
NOC,35,200,150,125,0.8252,0.0845
