brand,window_size,n_hidden,units1,term,r2_score,rmse
NVDA,35,200,150,10,0.8739,0.0692
NVDA,35,200,150,15,0.8317,0.0789
NVDA,35,200,150,20,0.8430,0.0742
NVDA,35,200,150,25,0.5122,0.1332
NVDA,35,200,150,30,0.7095,0.0990
NVDA,35,200,150,35,0.7731,0.0858
NVDA,35,200,150,40,0.7592,0.0850
NVDA,35,200,150,45,0.6412,0.1043
NVDA,35,200,150,50,0.6798,0.0918
NVDA,35,200,150,55,0.3169,0.1293
NVDA,35,200,150,60,0.0761,0.1387
NVDA,35,200,150,65,0.2472,0.1184
NVDA,35,200,150,70,-2.9388,0.2393
NVDA,35,200,150,75,-3.4690,0.2418
NVDA,35,200,150,80,-2.2416,0.1981
NVDA,35,200,150,85,-4.3188,0.2585
NVDA,35,200,150,90,-1.9338,0.1731
NVDA,35,200,150,95,-10.1152,0.3315
NVDA,35,200,150,100,-18.5084,0.4131
NVDA,35,200,150,105,-20.2331,0.4352
NVDA,35,200,150,110,-2.2439,0.1746
NVDA,35,200,150,115,-8.2631,0.2973
NVDA,35,200,150,120,-4.2176,0.2438
NVDA,35,200,150,125,-11.0003,0.3749
