brand,window_size,n_hidden,units1,term,r2_score,rmse
PFE,35,200,150,10,0.6920,0.1252
PFE,35,200,150,15,0.6641,0.1309
PFE,35,200,150,20,0.4913,0.1609
PFE,35,200,150,25,0.5228,0.1608
PFE,35,200,150,30,0.6374,0.1438
PFE,35,200,150,35,0.9343,0.0610
PFE,35,200,150,40,0.3238,0.1975
PFE,35,200,150,45,0.6109,0.1485
PFE,35,200,150,50,0.3586,0.1956
PFE,35,200,150,55,0.3835,0.1994
PFE,35,200,150,60,0.1038,0.2327
PFE,35,200,150,65,-0.3264,0.2789
PFE,35,200,150,70,-0.0060,0.2349
PFE,35,200,150,75,-0.1811,0.2496
PFE,35,200,150,80,-0.1011,0.2299
PFE,35,200,150,85,-0.7540,0.2852
PFE,35,200,150,90,-1.6943,0.3298
PFE,35,200,150,95,-1.7826,0.3268
PFE,35,200,150,100,-4.5386,0.4209
PFE,35,200,150,105,-3.5751,0.3832
PFE,35,200,150,110,-2.4834,0.3242
PFE,35,200,150,115,-1.5761,0.2816
PFE,35,200,150,120,-2.4029,0.3362
PFE,35,200,150,125,-2.1571,0.3184
