brand,window_size,n_hidden,units1,term,r2_score,rmse
WMT,35,200,150,10,0.7345,0.0948
WMT,35,200,150,15,0.6590,0.1080
WMT,35,200,150,20,0.4446,0.1370
WMT,35,200,150,25,0.5635,0.1266
WMT,35,200,150,30,0.5111,0.1381
WMT,35,200,150,35,0.2748,0.1965
WMT,35,200,150,40,0.5873,0.1670
WMT,35,200,150,45,0.4907,0.1853
WMT,35,200,150,50,0.6036,0.1623
WMT,35,200,150,55,0.1794,0.2341
WMT,35,200,150,60,0.6181,0.1622
WMT,35,200,150,65,0.6434,0.1580
WMT,35,200,150,70,0.6603,0.1553
WMT,35,200,150,75,0.6450,0.1571
WMT,35,200,150,80,0.6714,0.1511
WMT,35,200,150,85,0.5808,0.1702
WMT,35,200,150,90,0.7533,0.1273
WMT,35,200,150,95,0.3015,0.2106
WMT,35,200,150,100,0.7813,0.1119
WMT,35,200,150,105,0.6763,0.1309
WMT,35,200,150,110,0.5857,0.1364
WMT,35,200,150,115,0.1718,0.1860
WMT,35,200,150,120,-0.1239,0.1983
WMT,35,200,150,125,-1.4227,0.2813
