brand,window_size,n_hidden,units1,term,r2_score,rmse
XOM,35,200,150,10,0.3714,0.0971
XOM,35,200,150,15,0.4448,0.0952
XOM,35,200,150,20,0.6480,0.0739
XOM,35,200,150,25,0.1100,0.1182
XOM,35,200,150,30,0.5731,0.0820
XOM,35,200,150,35,0.5450,0.0845
XOM,35,200,150,40,0.0361,0.1246
XOM,35,200,150,45,0.0439,0.1244
XOM,35,200,150,50,-0.5364,0.1591
XOM,35,200,150,55,-3.6387,0.2791
XOM,35,200,150,60,-3.7736,0.2881
XOM,35,200,150,65,-2.5998,0.2516
XOM,35,200,150,70,-1.4647,0.2124
XOM,35,200,150,75,-4.6355,0.3216
XOM,35,200,150,80,-1.9153,0.2266
XOM,35,200,150,85,-1.0977,0.1923
XOM,35,200,150,90,-1.2640,0.1939
XOM,35,200,150,95,-0.8370,0.1726
XOM,35,200,150,100,-2.7655,0.2456
XOM,35,200,150,105,-3.0449,0.2487
XOM,35,200,150,110,-0.0900,0.1110
XOM,35,200,150,115,-0.0381,0.1060
XOM,35,200,150,120,-0.0986,0.1036
XOM,35,200,150,125,-3.7090,0.2043
