brand,window_size,n_hidden,units1,term,r2_score,rmse
GM,35,200,150,10,0.7519,0.0423
GM,35,200,150,15,0.4866,0.0612
GM,35,200,150,20,-0.0062,0.0854
GM,35,200,150,25,0.5665,0.0561
GM,35,200,150,30,0.3513,0.0681
GM,35,200,150,35,0.5347,0.0572
GM,35,200,150,40,0.4692,0.0609
GM,35,200,150,45,-0.7461,0.1104
GM,35,200,150,50,-0.3086,0.0957
GM,35,200,150,55,-0.0822,0.0870
GM,35,200,150,60,0.4638,0.0608
GM,35,200,150,65,-4.4700,0.1917
GM,35,200,150,70,-1.6918,0.1329
GM,35,200,150,75,-4.8958,0.1942
GM,35,200,150,80,-4.5137,0.1847
GM,35,200,150,85,-6.5991,0.2113
GM,35,200,150,90,-14.0999,0.2936
GM,35,200,150,95,-13.0635,0.2786
GM,35,200,150,100,-12.3296,0.2709
GM,35,200,150,105,-12.6145,0.2741
GM,35,200,150,110,-3.3872,0.1556
GM,35,200,150,115,-1.8890,0.1252
GM,35,200,150,120,-3.2654,0.1521
GM,35,200,150,125,-5.2114,0.1846
