BA,CAT,GM,GS,MMM,NOC,NVDA,PFE,WMT,XOM
0.0772,0.1003,0.1102,0.0585,0.2109,0.0959,0.0709,0.1011,0.105,0.0722
0.0778,0.0974,0.0996,0.0655,0.2665,0.1176,0.0726,0.1552,0.1029,0.0949
0.0784,0.0954,0.0994,0.0974,0.2767,0.1027,0.1105,0.16,0.1092,0.0884
0.081,0.0781,0.0963,0.085,0.2797,0.1446,0.0869,0.1502,0.1385,0.0765
0.0808,0.0872,0.1024,0.0928,0.2643,0.1452,0.0862,0.1215,0.1295,0.143
0.0956,0.0912,0.1068,0.093,0.2439,0.1646,0.0963,0.1401,0.1579,0.0804
0.1193,0.089,0.0964,0.1064,0.1923,0.1327,0.089,0.2134,0.1786,0.1241
0.1473,0.0806,0.0953,0.1107,0.1892,0.1698,0.1171,0.1783,0.1608,0.1356
0.1519,0.0775,0.1145,0.1051,0.2514,0.1288,0.1117,0.2085,0.1429,0.2462
0.1533,0.0835,0.1381,0.1015,0.1975,0.1018,0.1022,0.1992,0.1714,0.2799
0.1712,0.1197,0.1152,0.1957,0.1645,0.1315,0.1352,0.1942,0.1887,0.2248
0.1519,0.1023,0.1338,0.1858,0.1963,0.0964,0.1222,0.2183,0.1452,0.2432
0.1595,0.0759,0.1514,0.3014,0.1548,0.0989,0.1777,0.2421,0.155,0.1907
0.1798,0.0745,0.1067,0.2744,0.157,0.1098,0.2313,0.2088,0.1579,0.1726
0.2016,0.1243,0.1369,0.2102,0.1375,0.1281,0.1957,0.3076,0.1411,0.1802
0.172,0.0681,0.1104,0.2049,0.1495,0.1426,0.3112,0.2628,0.1539,0.1607
0.192,0.1042,0.2039,0.2872,0.1751,0.0904,0.2355,0.3422,0.1338,0.1706
0.1968,0.1162,0.1456,0.2046,0.1463,0.0955,0.4595,0.3502,0.1607,0.2527
0.2058,0.1264,0.145,0.3076,0.1596,0.1169,0.2846,0.4061,0.1245,0.2351
0.2499,0.1777,0.1951,0.3323,0.1402,0.1794,0.4407,0.3397,0.1496,0.1401
0.2518,0.306,0.1976,0.214,0.1361,0.1195,0.1569,0.3635,0.124,0.1009
0.2665,0.2574,0.1874,0.3004,0.1282,0.1415,0.2821,0.33,0.2077,0.1631
0.3064,0.2445,0.1298,0.3979,0.1392,0.1026,0.2414,0.3302,0.1455,0.1216
0.2931,0.249,0.1616,0.3953,0.1415,0.1059,0.3711,0.2595,0.1907,0.2159
