BA,CAT,GM,GS,MMM,NOC,NVDA,PFE,WMT,XOM
0.0283,0.4141,0.6235,0.5537,-3.9375,-0.2551,0.866,0.7501,0.5562,0.1062
0.4538,0.3422,0.6541,0.5481,-3.3084,0.1696,0.8462,0.5277,0.6128,0.5357
-0.3543,0.1154,0.6255,0.4964,-8.028,0.1543,0.8052,0.5022,0.5728,0.6057
0.2496,0.294,0.5644,0.5865,-6.2197,0.3463,0.8623,0.6948,0.4732,0.571
0.251,0.3214,0.6649,0.3934,-4.1979,0.1263,0.7853,0.6319,0.4734,0.2882
0.475,0.3809,0.6903,0.5478,-6.995,0.5467,0.7304,0.2151,0.6916,0.0667
0.0332,0.2009,-0.5762,0.5672,-2.7927,0.4461,0.8064,0.4589,0.316,-0.5748
0.0078,0.1943,-0.5255,-0.7271,-8.5203,0.1299,0.8433,0.5042,0.08,-4.0604
-0.4757,0.0656,-1.6853,-0.4631,-4.47,0.1017,0.4745,0.3644,0.0529,-9.8535
-0.3496,0.1984,-0.1576,-1.4842,-7.0522,0.4056,-0.35,0.033,0.151,-2.095
0.0573,0.2633,-1.8629,0.3035,-13.2187,-0.0617,-1.0371,-0.2704,0.5956,-4.0932
-0.1725,0.0369,-7.6895,0.4627,-2.0444,-0.2787,-1.9079,-0.1208,-0.3111,-11.771
-0.1406,-0.5665,-4.3152,0.2503,-0.5139,-0.0034,-1.3339,-0.3704,-1.1654,-14.9624
