brand,window_size,n_hidden,units1,term,r2_score,rmse
BA,35,200,150,10,0.9024,0.0391
BA,35,200,150,15,0.8797,0.0432
BA,35,200,150,20,0.8434,0.0487
BA,35,200,150,25,0.8416,0.0484
BA,35,200,150,30,0.8116,0.0547
BA,35,200,150,35,0.7001,0.0709
BA,35,200,150,40,0.8562,0.0491
BA,35,200,150,45,0.7024,0.0724
BA,35,200,150,50,0.6254,0.0812
BA,35,200,150,55,0.5494,0.0890
BA,35,200,150,60,0.8188,0.0563
BA,35,200,150,65,0.8671,0.0482
BA,35,200,150,70,0.5304,0.0904
BA,35,200,150,75,0.2982,0.1104
BA,35,200,150,80,0.6393,0.0790
BA,35,200,150,85,0.6202,0.0830
BA,35,200,150,90,0.7495,0.0687
BA,35,200,150,95,0.3205,0.1137
BA,35,200,150,100,0.3807,0.1090
BA,35,200,150,105,0.7730,0.0724
BA,35,200,150,110,0.4840,0.1097
BA,35,200,150,115,0.6956,0.0851
BA,35,200,150,120,0.8559,0.0588
BA,35,200,150,125,0.8604,0.0584
