brand,window_size,n_hidden,units1,term,r2_score,rmse
CAT,35,200,150,10,0.8605,0.1088
CAT,35,200,150,15,0.8695,0.1054
CAT,35,200,150,20,0.8990,0.0931
CAT,35,200,150,25,0.7969,0.1328
CAT,35,200,150,30,0.8947,0.0960
CAT,35,200,150,35,0.9401,0.0729
CAT,35,200,150,40,0.7932,0.1359
CAT,35,200,150,45,0.8978,0.0958
CAT,35,200,150,50,0.8880,0.1006
CAT,35,200,150,55,0.9419,0.0728
CAT,35,200,150,60,0.9416,0.0731
CAT,35,200,150,65,0.9438,0.0717
CAT,35,200,150,70,0.8963,0.0974
CAT,35,200,150,75,0.8001,0.1368
CAT,35,200,150,80,0.7413,0.1556
CAT,35,200,150,85,0.7813,0.1428
CAT,35,200,150,90,0.8424,0.1222
CAT,35,200,150,95,0.7820,0.1433
CAT,35,200,150,100,0.8361,0.1243
CAT,35,200,150,105,0.8486,0.1197
CAT,35,200,150,110,0.8837,0.1049
CAT,35,200,150,115,0.8948,0.1000
CAT,35,200,150,120,0.8824,0.1059
CAT,35,200,150,125,0.8099,0.1356
