brand,window_size,n_hidden,units1,term,r2_score,rmse
GS,35,200,150,10,0.8758,0.0717
GS,35,200,150,15,0.8792,0.0704
GS,35,200,150,20,0.8976,0.0644
GS,35,200,150,25,0.8537,0.0761
GS,35,200,150,30,0.8513,0.0762
GS,35,200,150,35,0.8677,0.0707
GS,35,200,150,40,0.8417,0.0767
GS,35,200,150,45,0.8858,0.0645
GS,35,200,150,50,0.8304,0.0785
GS,35,200,150,55,0.8367,0.0767
GS,35,200,150,60,0.7924,0.0861
GS,35,200,150,65,0.8266,0.0781
GS,35,200,150,70,0.8527,0.0715
GS,35,200,150,75,0.8836,0.0630
GS,35,200,150,80,0.8872,0.0615
GS,35,200,150,85,0.9055,0.0553
GS,35,200,150,90,0.8639,0.0652
GS,35,200,150,95,0.8768,0.0611
GS,35,200,150,100,0.8027,0.0774
GS,35,200,150,105,0.8401,0.0701
GS,35,200,150,110,0.7728,0.0837
GS,35,200,150,115,0.8960,0.0568
GS,35,200,150,120,0.8183,0.0754
GS,35,200,150,125,0.8805,0.0616
