brand,window_size,n_hidden,units1,term,r2_score,rmse
NOC,35,200,150,10,0.8033,0.0501
NOC,35,200,150,15,0.6036,0.0712
NOC,35,200,150,20,0.2775,0.0982
NOC,35,200,150,25,0.0290,0.1135
NOC,35,200,150,30,0.5216,0.0816
NOC,35,200,150,35,-0.5116,0.1487
NOC,35,200,150,40,0.5046,0.0879
NOC,35,200,150,45,-0.1791,0.1421
NOC,35,200,150,50,-0.0805,0.1384
NOC,35,200,150,55,0.2337,0.1160
NOC,35,200,150,60,-0.1494,0.1427
NOC,35,200,150,65,0.2756,0.1172
NOC,35,200,150,70,-0.4458,0.1660
NOC,35,200,150,75,0.1325,0.1291
NOC,35,200,150,80,-0.1138,0.1464
NOC,35,200,150,85,-0.8175,0.1865
NOC,35,200,150,90,-0.1559,0.1480
NOC,35,200,150,95,-0.1478,0.1452
NOC,35,200,150,100,-0.2861,0.1527
NOC,35,200,150,105,-0.4211,0.1576
NOC,35,200,150,110,0.1190,0.1227
NOC,35,200,150,115,-0.5438,0.1575
NOC,35,200,150,120,0.1383,0.1154
NOC,35,200,150,125,-0.1777,0.1329
