brand,window_size,n_hidden,units1,term,r2_score,rmse
BA,35,200,150,10,0.6744,0.0772
BA,35,200,150,15,0.6658,0.0778
BA,35,200,150,20,0.6585,0.0784
BA,35,200,150,25,0.6333,0.0810
BA,35,200,150,30,0.6759,0.0808
BA,35,200,150,35,0.5872,0.0956
BA,35,200,150,40,0.3218,0.1193
BA,35,200,150,45,0.0566,0.1473
BA,35,200,150,50,-0.0071,0.1519
BA,35,200,150,55,-0.0181,0.1533
BA,35,200,150,60,-0.2507,0.1712
BA,35,200,150,65,0.0238,0.1519
BA,35,200,150,70,-0.0449,0.1595
BA,35,200,150,75,-0.3064,0.1798
BA,35,200,150,80,-0.5741,0.2016
BA,35,200,150,85,-0.0265,0.1720
BA,35,200,150,90,-0.1499,0.1920
BA,35,200,150,95,-0.1847,0.1968
BA,35,200,150,100,-0.2483,0.2058
BA,35,200,150,105,-0.2994,0.2499
BA,35,200,150,110,-0.3744,0.2518
BA,35,200,150,115,-0.5459,0.2665
BA,35,200,150,120,-1.1503,0.3064
BA,35,200,150,125,-1.4338,0.2931
