brand,window_size,n_hidden,units1,term,r2_score,rmse
GS,35,200,150,10,0.7211,0.0585
GS,35,200,150,15,0.7067,0.0655
GS,35,200,150,20,0.3887,0.0974
GS,35,200,150,25,0.5177,0.0850
GS,35,200,150,30,0.4324,0.0928
GS,35,200,150,35,0.4364,0.0930
GS,35,200,150,40,0.2746,0.1064
GS,35,200,150,45,0.2652,0.1107
GS,35,200,150,50,0.4053,0.1051
GS,35,200,150,55,0.4505,0.1015
GS,35,200,150,60,-0.3822,0.1957
GS,35,200,150,65,-0.2163,0.1858
GS,35,200,150,70,-2.2537,0.3014
GS,35,200,150,75,-1.7705,0.2744
GS,35,200,150,80,-0.7352,0.2102
GS,35,200,150,85,-0.7200,0.2049
GS,35,200,150,90,-2.7828,0.2872
GS,35,200,150,95,-1.2959,0.2046
GS,35,200,150,100,-4.3452,0.3076
GS,35,200,150,105,-5.5589,0.3323
GS,35,200,150,110,-2.0995,0.2140
GS,35,200,150,115,-5.1232,0.3004
GS,35,200,150,120,-5.8569,0.3979
GS,35,200,150,125,-6.4382,0.3953
