brand,window_size,n_hidden,units1,term,r2_score,rmse
MMM,35,200,150,10,-4.3914,0.2109
MMM,35,200,150,15,-7.5609,0.2665
MMM,35,200,150,20,-8.0643,0.2767
MMM,35,200,150,25,-8.1766,0.2797
MMM,35,200,150,30,-6.9320,0.2643
MMM,35,200,150,35,-5.6437,0.2439
MMM,35,200,150,40,-3.0211,0.1923
MMM,35,200,150,45,-2.8637,0.1892
MMM,35,200,150,50,-5.6303,0.2514
MMM,35,200,150,55,-3.0909,0.1975
MMM,35,200,150,60,-1.8485,0.1645
MMM,35,200,150,65,-3.0926,0.1963
MMM,35,200,150,70,-1.3692,0.1548
MMM,35,200,150,75,-1.4689,0.1570
MMM,35,200,150,80,-0.8739,0.1375
MMM,35,200,150,85,-1.1839,0.1495
MMM,35,200,150,90,-1.4345,0.1751
MMM,35,200,150,95,-0.6871,0.1463
MMM,35,200,150,100,-1.0339,0.1596
MMM,35,200,150,105,-0.5941,0.1402
MMM,35,200,150,110,-0.5407,0.1361
MMM,35,200,150,115,-0.3813,0.1282
MMM,35,200,150,120,-0.7974,0.1392
MMM,35,200,150,125,-1.0730,0.1415
