brand,window_size,n_hidden,units1,term,r2_score,rmse
NVDA,35,200,150,10,0.8674,0.0709
NVDA,35,200,150,15,0.8575,0.0726
NVDA,35,200,150,20,0.6520,0.1105
NVDA,35,200,150,25,0.7927,0.0869
NVDA,35,200,150,30,0.7799,0.0862
NVDA,35,200,150,35,0.7141,0.0963
NVDA,35,200,150,40,0.7359,0.0890
NVDA,35,200,150,45,0.5473,0.1171
NVDA,35,200,150,50,0.5261,0.1117
NVDA,35,200,150,55,0.5735,0.1022
NVDA,35,200,150,60,0.1212,0.1352
NVDA,35,200,150,65,0.1979,0.1222
NVDA,35,200,150,70,-1.1719,0.1777
NVDA,35,200,150,75,-3.0907,0.2313
NVDA,35,200,150,80,-2.1629,0.1957
NVDA,35,200,150,85,-6.7084,0.3112
NVDA,35,200,150,90,-4.4350,0.2355
NVDA,35,200,150,95,-20.3526,0.4595
NVDA,35,200,150,100,-8.2562,0.2846
NVDA,35,200,150,105,-20.7742,0.4407
NVDA,35,200,150,110,-1.6179,0.1569
NVDA,35,200,150,115,-7.3405,0.2821
NVDA,35,200,150,120,-4.1139,0.2414
NVDA,35,200,150,125,-10.7569,0.3711
