brand,window_size,n_hidden,units1,term,r2_score,rmse
WMT,35,200,150,10,0.6741,0.1050
WMT,35,200,150,15,0.6904,0.1029
WMT,35,200,150,20,0.6469,0.1092
WMT,35,200,150,25,0.4780,0.1385
WMT,35,200,150,30,0.5699,0.1295
WMT,35,200,150,35,0.5317,0.1579
WMT,35,200,150,40,0.5279,0.1786
WMT,35,200,150,45,0.6165,0.1608
WMT,35,200,150,50,0.6926,0.1429
WMT,35,200,150,55,0.5599,0.1714
WMT,35,200,150,60,0.4834,0.1887
WMT,35,200,150,65,0.6991,0.1452
WMT,35,200,150,70,0.6615,0.1550
WMT,35,200,150,75,0.6417,0.1579
WMT,35,200,150,80,0.7137,0.1411
WMT,35,200,150,85,0.6574,0.1539
WMT,35,200,150,90,0.7276,0.1338
WMT,35,200,150,95,0.5935,0.1607
WMT,35,200,150,100,0.7292,0.1245
WMT,35,200,150,105,0.5777,0.1496
WMT,35,200,150,110,0.6579,0.1240
WMT,35,200,150,115,-0.0323,0.2077
WMT,35,200,150,120,0.3949,0.1455
WMT,35,200,150,125,-0.1137,0.1907
