brand,window_size,n_hidden,units1,term,r2_score,rmse
XOM,35,200,150,10,0.6528,0.0722
XOM,35,200,150,15,0.4486,0.0949
XOM,35,200,150,20,0.4955,0.0884
XOM,35,200,150,25,0.6269,0.0765
XOM,35,200,150,30,-0.2983,0.1430
XOM,35,200,150,35,0.5879,0.0804
XOM,35,200,150,40,0.0438,0.1241
XOM,35,200,150,45,-0.1350,0.1356
XOM,35,200,150,50,-2.6771,0.2462
XOM,35,200,150,55,-3.6660,0.2799
XOM,35,200,150,60,-1.9083,0.2248
XOM,35,200,150,65,-2.3622,0.2432
XOM,35,200,150,70,-0.9876,0.1907
XOM,35,200,150,75,-0.6229,0.1726
XOM,35,200,150,80,-0.8430,0.1802
XOM,35,200,150,85,-0.4659,0.1607
XOM,35,200,150,90,-0.7519,0.1706
XOM,35,200,150,95,-2.9381,0.2527
XOM,35,200,150,100,-2.4506,0.2351
XOM,35,200,150,105,-0.2834,0.1401
XOM,35,200,150,110,0.0991,0.1009
XOM,35,200,150,115,-1.4582,0.1631
XOM,35,200,150,120,-0.5132,0.1216
XOM,35,200,150,125,-4.2596,0.2159
